"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","codebbch_output","masec_n","masecveg","masec_kg_ha","mafeuil_kg_ha","matigestruc_kg_ha","QNfeuilleres","QNtige","Plant"
"wheat",1994-10-17,"ble",0,0,0,0,0,9.4,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-18,"ble",0,0,0,0,0,8.4,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-19,"ble",0,0,0,0,0,6.1,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-20,"ble",0,0,0,0,0,3.1,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-21,"ble",0,0,0,0,0,5.4,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-22,"ble",0,0,0,0,0,3.2,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-23,"ble",0,0,0,0,0,5.9,308,449,493,311,0,-1,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-24,"ble",0,0,0,0,0,6.9,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-25,"ble",11.5,0,0,0,0,5.5,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-26,"ble",22.75,0,0,0,0,5.9,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-27,"ble",32.45,0,0,0,0,3,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-28,"ble",41.3,0,0,0,0,9,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-29,"ble",49.35,0,0,0,0,2.7,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-30,"ble",59.4,0,0,0,0,2.7,308,449,493,311,0,0,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-10-31,"ble",72.8,0,0,0,0,2.8,308,449,493,311,0,5,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-11-01,"ble",72.8,0,0,0,0,9.5,308,449,493,311,0,5,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-11-02,"ble",72.8,0,0,0,0,6.6,308,449,493,311,0,5,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-11-03,"ble",72.8,0,0,0,0,9.9,308,449,493,311,0,5,0,0,0,0,0,0,0,"plant_1"
"wheat",1994-11-04,"ble",72.8,2e-04,0,0.00017,0.00012,2.6,308,449,493,311,0.01,9,0,0,0.00259,0.00259,0,0,0,"plant_1"
"wheat",1994-11-05,"ble",72.8,0.00332,0,0.00278,0.00181,2.4,308,449,493,311,0.01,9,4e-05,4e-05,0.04248,0.04248,0,0,0,"plant_1"
"wheat",1994-11-06,"ble",72.8,0.00628,0,0.00527,0.01044,7.3,308,449,493,311,0.01615,9,0.00027,0.00027,0.27216,0.27216,0,0,0,"plant_1"
"wheat",1994-11-07,"ble",72.8,0.00822,0,0.00689,0.01347,7.2,308,449,493,311,0.02008,9,0.00056,0.00056,0.55789,0.55789,0,0,0,"plant_1"
"wheat",1994-11-08,"ble",72.8,0.01,0,0.00837,0.00705,3.1,308,449,493,311,0.01019,9,7e-04,7e-04,0.70292,0.70292,0,0,0,"plant_1"
"wheat",1994-11-09,"ble",72.8,0.01223,0,0.01023,0.00639,2.3,308,449,493,311,0.01,9,0.00084,0.00084,0.84302,0.84302,0,0,0,"plant_1"
"wheat",1994-11-10,"ble",72.8,0.01428,0,0.01193,0.00908,2.8,308,449,493,311,0.01376,9,0.00104,0.00104,1.03876,1.03876,0,0,0,"plant_1"
"wheat",1994-11-11,"ble",72.81138,0.01654,0,0.01382,0.01052,2.8,308,449,493,311,0.01622,9,0.00127,0.00127,1.26946,1.26946,0,0,0,"plant_1"
